# size cpu-cycles node-load-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 10542238 7811 731 0 0 0
8192 11731690 9515 546 0 0 0
16384 10748440 6453 544 0 0 0
32768 0 9390 670 0 0 0
65536 10864207 6212 446 0 0 0
131072 12769028 8993 693 0 0 0
262144 14596768 9645 979 0 0 0
524288 18037228 9900 1042 0 0 0
1048576 25016147 12070 1164 1204 0 0
2097152 35634755 18742 1108 118 0 0
4194304 66534923 35755 1708 216 0 0
8388608 127024792 65269 5726 696 3700 0
16777216 309839163 46945 76877 6562 43525 18357
33554432 721954857 130670 192955 4225 40474 32143
67108864 1450067596 218319 209665 8340 83551 63234
134217728 2905440109 391218 391206 15058 203115 150014
268435456 5771662596 704657 1210266 31094 328356 285441
536870912 11842562584 1531150 2420165 87644 685471 584742
1073741824 24698847032 3255452 5567740 734229 1262636 1169630
2147483648 51630917150 7595094 10316463 2122106 3013856 3209417
4294967296 105601801567 17517208 17599241 3974491 7264738 7425188
8589934592 211054087436 34444676 26326767 5897319 13445133 15364570
