# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 1 7776806 8619 7063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 4 11618827 10985 9188 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 8 16603842 14936 12385 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 12 20712096 18133 15207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 16 25635498 22285 18745 7857 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 20 29754378 25012 21045 15096 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 24 34051151 27495 22662 19308 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 28 38588986 30438 25531 21402 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 32 43265622 35343 28700 42033 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 36 47038741 38526 29895 38005 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 40 51783140 41581 32238 31687 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 44 55688020 40540 33218 30464 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 48 60578446 45690 36939 41079 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 52 65996104 54469 41019 63950 9104 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 56 69384106 52033 42431 51300 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 60 74375708 56738 44623 76369 8417 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 64 78893856 62349 47910 71316 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 1 7713208 8354 7203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 4 13225593 10937 9225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 8 20161636 15475 13182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 12 27060028 20570 17455 3046 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 16 32894928 22536 19237 9426 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 20 40208909 27032 22408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 24 46565608 30197 23491 27647 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 28 52245564 34081 27949 24278 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 32 58759677 39936 31422 43260 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 36 64222559 41525 33403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 40 71219909 43857 36230 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 44 77390753 49720 38256 44363 9832 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 48 83387754 52276 41596 59784 6393 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 52 89486702 59701 44650 79282 14887 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 56 95951358 59432 47557 64948 8074 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 60 102999451 62596 50318 47847 0 0 0 0 0 0 0 0 0 0 0 0 0 0
