# size cpu-cycles node-load-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 105858448958 6875651 3949788 3690992 20616 74135
8192 93197769418 5061982 4275364 2583250 19567 63138
16384 102342455294 8512436 3330769 4215904 23277 73148
32768 94551259613 5812760 3403676 2919824 17334 47728
65536 98813350577 6175914 2956626 3054314 19838 49235
131072 97291948773 5932132 3486171 2871890 20527 62922
262144 97030940929 5160834 3584244 2473519 19518 61507
524288 104559646250 4548061 3705073 2080139 15690 59734
1048576 104713061508 4467300 3695108 1996717 20357 67639
2097152 104828205622 4248877 4350713 1945111 18642 62696
4194304 116795833132 5379668 6131468 2749497 22456 71068
8388608 349240257959 5013590 11033914 2947895 31488 97270
16777216 371162693639 5630766 10635751 3229227 35932 108330
33554432 370471906966 6166573 9935253 3476989 37982 116650
67108864 369786915153 4475926 10889918 2639267 37030 104263
134217728 369841916652 6167461 10331888 3269715 43296 134939
268435456 372453997460 4654540 10407982 2757187 39003 107382
536870912 376879343002 7683523 11121116 4252658 46344 102219
1073741824 378615271877 6443505 13344782 3631419 50132 99403
2147483648 225535400889 125801 4904 1481 68906 66495
4294967296 387583162499 7886758 14114251 4441617 48104 98646
8589934592 757072661709 19635126 27611690 11305989 100338 199873
