# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 1 3673007 3582 2861 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 4 5914743 4994 3968 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 8 9182623 7467 5985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 12 12066611 9116 7443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 16 14684026 10111 8317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 20 17465520 11863 9521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 24 21047458 14304 11702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 28 24026648 16451 13244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 32 27709312 16994 14616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 36 29722356 19305 15887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 40 33661919 20164 16637 11193 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 44 35746880 21728 17566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 48 39154657 22620 18681 20639 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 52 42954006 24714 20441 16486 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 56 45751931 27395 22411 8492 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 60 48496581 28249 22980 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 64 51274578 29240 23964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 1 3876215 3438 2773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 4 7287675 5002 4088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 8 12362984 7928 6407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 12 16903323 9657 7798 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 16 21236349 11426 9373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 20 26194445 14017 11335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 24 30569995 15711 12828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 28 35255673 17518 14369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 32 39845420 19801 16297 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 36 44314716 20901 17183 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 40 49046566 22470 18510 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 44 52462199 23753 20455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 48 58268368 25353 21125 27034 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 52 62973286 29129 23360 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 56 64550000 30105 24750 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 60 72041578 31078 25648 32941 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 64 77709053 34215 27467 46494 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 1 4432087 3154 2587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 4 10346786 5538 4444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 8 18568737 8813 7326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 12 27268132 11889 9557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 16 35236908 14409 11727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 20 42917465 16069 13057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 24 51273608 19220 15743 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 28 58440514 21952 17876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 32 66873104 23973 19786 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 36 75146408 25457 21205 9982 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 40 83554129 27866 23504 24773 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 44 91710204 29674 25097 34829 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 48 100274513 32620 27418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 52 107397302 36083 29126 17274 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 56 114831424 36391 30899 44361 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 60 124393501 41382 33929 34794 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 64 131632876 41628 34193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 1 5963336 3599 2864 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 4 15083124 5986 4896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 8 30977728 10244 8449 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 12 46991251 14857 12247 2634 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 16 62881863 19183 15600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 20 79240308 24454 19130 6105 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 24 94150434 26609 21542 13122 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 28 108950688 31327 25104 14272 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 32 126632661 35521 28326 16588 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 36 141269422 39737 32103 31650 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 40 156590358 43295 35119 44737 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 44 166901705 46945 38154 52358 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 48 192315516 51137 40529 52964 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 52 202691697 56283 43936 61757 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 56 217211283 59942 45430 72990 23886 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 60 234621798 62110 48696 110971 39795 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 64 254809879 68620 51366 110787 36631 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 1 8861580 3523 2855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 4 28039418 7292 6027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 8 54974338 14188 11370 3535 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 12 84713543 20070 16503 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 16 114190526 29826 22267 11208 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 20 147950658 39240 28451 23172 13851 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 24 178971277 43542 33497 14965 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 28 212557536 56854 39520 43974 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 32 236964464 62727 46579 71018 8962 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 36 277369959 76833 51380 72644 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 40 308049951 83273 57703 58771 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 44 331503228 90322 66822 116172 20878 5447 0 0 0 0 0 0 0 0 0 0 0 0
65536 48 365237600 104012 70113 102682 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 52 390347456 109631 72366 134086 49185 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 56 425566144 124078 84859 187525 50033 20843 0 0 0 0 0 0 0 0 0 0 0 0
65536 60 462541820 125183 87377 162069 45736 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 64 486726246 136842 94466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 1 14221872 3912 3000 218 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 4 51220550 9379 7624 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 8 104684320 25214 14512 4299 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 12 158672861 31813 22881 12371 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 16 215738795 58992 32685 22328 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 20 280701925 87284 44370 33050 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 24 345988935 97952 57806 62397 14590 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 28 419494671 147369 80540 90421 16760 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 32 494794327 158977 87182 94287 25773 4200 0 0 0 0 0 0 0 0 0 0 0 0
131072 36 559037333 194024 106696 163917 42691 13281 0 0 0 0 0 0 0 0 0 0 0 0
131072 40 651531751 203012 119682 162412 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 44 725643850 223234 134793 208943 69063 22198 0 0 0 0 0 0 0 0 0 0 0 0
131072 48 790242498 288260 165620 243987 77688 22000 12902 0 0 0 0 0 0 0 0 0 0 0
131072 52 827978306 277453 173705 272477 82498 25702 9624 0 0 0 0 0 0 0 0 0 0 0
131072 56 947411482 350627 195522 329422 120141 33026 27028 0 0 0 0 0 0 0 0 0 0 0
131072 60 1020674413 336974 202137 358273 127800 41257 22182 0 0 0 0 0 0 0 0 0 0 0
131072 64 1091242371 342377 217340 359625 125727 45429 33130 0 0 0 0 0 0 0 0 0 0 0
262144 1 25225047 8585 3980 141 0 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 4 91953523 29020 13315 887 2519 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 8 203811553 69579 31969 4744 2218 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 12 330007518 113507 54163 25887 7329 9660 0 0 0 0 0 0 0 0 0 0 0 0
262144 16 460583518 195937 104666 78914 8487 6194 0 0 0 0 0 0 0 0 0 0 0 0
262144 20 622584980 269318 157132 162858 29906 6189 11922 0 0 0 0 0 0 0 0 0 0 0
262144 24 766589953 288323 164990 134536 32184 11825 11558 0 0 0 0 0 0 0 0 0 0 0
262144 28 954249190 404279 249352 277171 65213 13549 11761 0 0 0 0 0 0 0 0 0 0 0
262144 32 1150079441 566331 351848 406249 128636 27044 13574 5624 60 0 0 0 0 0 0 0 0 0
262144 36 1265403058 534686 369929 458111 157443 38475 20397 5211 4 0 0 0 0 0 0 0 0 0
262144 40 1432865532 616030 411149 529214 190196 54514 28498 4950 36 0 0 0 0 0 0 0 0 0
262144 44 1644496797 655456 451160 566002 220928 61737 34730 8255 81 0 0 0 0 0 0 0 0 0
262144 48 1782824821 714448 481410 648490 281927 76261 45188 11027 4 738 162 0 0 0 0 0 0 0
262144 52 1959826672 787188 535197 721372 305462 83458 55250 14837 388 1608 179 0 0 0 0 0 0 0
262144 56 2022340925 834471 635350 842338 378953 115588 66637 15909 29 1339 599 12 0 0 0 0 0 0
262144 60 2222582199 883823 636873 881408 404619 119615 81748 20259 7 1268 400 332 0 0 0 0 0 0
262144 64 2340170722 1064024 760149 982909 428437 122223 77784 20794 39 1532 568 0 0 0 0 0 0 0
524288 1 46811055 14077 6896 75 39 163 383 0 0 0 0 0 0 0 0 0 0 0
524288 4 189167994 68159 33164 2234 130 383 929 0 0 0 0 0 0 0 0 0 0 0
524288 8 394054618 161519 83770 51255 279 636 2136 0 0 0 0 0 0 0 0 0 0 0
524288 12 598393729 301804 174680 159894 2069 577 2488 1905 0 0 0 0 0 0 0 0 0 0
524288 16 768568139 467976 285780 355414 45008 837 2269 1748 26 0 0 0 0 0 0 0 0 0
524288 20 1093543227 591295 374771 437883 53624 2231 2743 2153 18 1323 0 0 0 0 0 0 0 0
524288 24 1340702825 805282 589714 783380 233600 31272 1501 1824 49 1057 0 0 0 0 0 0 0 0
524288 28 1710595330 928446 667643 836400 245795 38421 4996 2503 21 566 479 0 0 0 0 0 0 0
524288 32 1989611460 1044707 773188 1030296 421292 110033 30386 3607 12 582 812 87 678 0 0 0 0 0
524288 36 2481253917 1363732 1006388 1305979 548736 167198 61441 8330 23 716 1705 119 1191 0 0 0 0 0
524288 40 2753579201 1505987 1079292 1359117 666668 242764 119178 23864 52 1330 4560 129 912 173 15980 0 0 0
524288 44 3203428837 1619821 1200034 1501677 683392 244440 139142 39657 26 1939 5557 339 0 0 0 0 0 0
524288 48 3502644919 1653446 1292315 1615718 769655 306537 169424 46039 30 2823 9222 529 1733 137 30789 0 0 0
524288 52 4062742790 1908767 1408171 1654666 824475 313893 181244 64587 104 4188 14041 501 2389 262 30910 170960 0 0
524288 56 4467531565 2156264 1551110 1988233 952753 361885 253068 108465 89 6941 21838 670 1898 482 38949 0 0 0
524288 60 4583213962 2263297 1736055 2005944 960207 363530 247282 111531 115 7873 27750 874 3402 849 26760 153620 0 0
524288 64 5429166746 2327125 1790288 2288155 1069805 440074 306678 138968 292 9639 28565 656 3106 1378 25006 97377 29 188
1048576 1 89462511 33634 17059 12315 89 77 51 6 0 4 0 401 0 0 0 0 0 0
1048576 4 371027476 197813 128000 188720 10678 175 95 131 0 5 12 139 259 0 0 0 0 0
1048576 8 774587084 407368 284324 460187 60301 426 144 394 0 12 73 133 278 128 0 0 0 0
1048576 12 1191564491 679002 458956 865098 179828 10612 291 721 0 41 330 194 398 366 0 0 0 0
1048576 16 1609955550 995398 704566 1350265 373936 38931 1019 3442 1 305 2008 127 455 238 34413 0 0 0
