# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 1 2681482 2875 2219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 4 4949368 4563 3704 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 8 7819688 6290 5134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 12 11458176 8487 6865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 16 13837618 10015 8050 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 20 16875139 11988 9656 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 24 19711358 13045 10361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 28 22942981 14880 12268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 32 25581710 16016 12982 1175 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 36 28570138 17294 14470 10890 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 40 32743802 20021 16507 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 44 34242708 19464 15710 4901 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 48 37778397 21515 17503 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 52 41050611 24028 19393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 56 43762017 25348 20730 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 60 46747583 27923 22695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 64 49673504 28220 23053 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 1 2906071 2804 2310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 4 6405288 4560 3736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
