# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 1 45566304585 329313 327290 10045387 603065 369864 41047 820380 887 363794 123384 2366 157854 4636 15395 19787 2 377
4096 4 183444148142 4101332 3256013 40967840 22280696 6097544 5019425 3859000 2508 788645 114951 6181 953395 117733 979710 1144506 291 158916
4096 8 368858191564 9136929 7062717 79988192 41696729 10171475 8393627 6971542 2622 1476155 172507 8142 1422423 332182 1975745 3885751 608 271680
4096 12 560365075973 23933624 19539323 122084916 66507506 18735355 16588504 10391360 4891 2217283 220695 12789 2808920 590145 5255629 12471184 1213 1077385
4096 16 777347469753 57626746 47957664 170392440 89603984 37404304 34299176 15758814 8805 2897007 242562 23473 3284022 800505 12335044 35530149 3206 2717575
4096 20 992007864407 78599525 64538256 216477835 112095321 51463023 46470219 20871744 7690 3320242 346064 30706 4735696 1269997 16626116 49267496 4673 3691888
4096 24 1209613012966 95144975 77463397 260540671 132883854 67778454 61504568 25802287 11523 4156373 471184 34327 5284616 1104995 19452072 60940791 5697 4530660
4096 28 1447876766800 113168447 91933671 305740818 153281515 80670747 72228536 31552407 13168 4971694 905171 42712 5398192 1756744 22875989 74746899 6942 5416705
4096 32 1709677821835 132718128 107343798 352094494 174093043 90892794 80918396 37848766 15098 5359567 1284632 57493 6953626 2088577 26731066 88213077 9582 6167077
4096 36 2015087893654 149731947 120902551 395978414 191418895 97413036 86580549 43219515 19057 5518390 1458621 70686 7207601 2494292 29947070 99907782 14752 6568491
4096 40 2339071129725 166530929 135339705 438154233 206297557 107909786 95932147 48414886 25967 6001458 1865762 80420 7918021 3214916 33760597 111556336 19703 6813103
4096 44 2713278109535 187727231 151074311 487268114 227628709 120330577 105973117 55883292 28130 6873961 2505220 91667 9434069 4174288 37748218 125238752 27090 7366166
4096 48 3125950115008 209945457 170533969 534159377 244832352 144641799 128399580 63367303 30874 7892797 2551886 104458 10117931 4738072 42866711 139649162 34721 7567407
4096 52 3599134969510 231151627 188477563 583492974 260363226 156997197 139167594 71307347 33022 8483533 3221700 113059 11430449 5850430 47410858 153768267 46197 7472453
4096 56 4106008680520 255139038 208351560 630739738 281166825 175082482 154897583 78111555 30963 8808944 3597607 128305 12845324 6427662 52812113 169132177 57895 7501650
4096 60 4655626239831 281504912 230996899 681010008 302307746 189095163 166715304 86252146 33864 8726012 4259919 139490 15730785 8103414 58467984 185843735 74263 7558961
4096 64 5172893393856 312531944 257630167 725887633 316330940 207722029 183177860 95472212 31962 10860597 5446814 167098 19164237 9638737 65159631 203262494 91695 7597385
8192 1 44902287461 286780 349685 5079119 300770 92123 20130 331734 659 237595 44196 2290 1390 1422 13759 22485 0 150
