# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 1 47362484858 6874435 309553 16962734 537364 76705197 684621 82679836 23281 6131326 76371759 26348 99089 535625 18584 19827 13 8908
4096 4 207368191596 54215363 29151530 69886748 24856297 320551996 28187542 319419145 16850 23731007 288159582 55866 4610615 11116612 6144817 13325711 4103 1791005
4096 8 432607469363 105865437 55389128 137803436 57895367 638931750 65963606 625383335 41758 46205371 565273902 95589 8961012 33694271 12130820 29075295 11185 3903381
4096 12 665839874172 169414457 92540638 221813533 93717748 948271449 95557415 932129261 62712 67513335 851264562 161607 14946474 49826868 19103812 50930846 28258 6392638
4096 16 931157885786 257359616 149922547 335743811 143263998 1270231679 181232618 1195161036 83037 86204738 1080419940 233252 26688769 108001428 28956288 82128822 54774 10985949
4096 20 1223533902709 372397758 236785650 482517641 203091702 1575354068 276620498 1428006169 113064 102565633 1285523490 356305 42760252 185414777 42959822 131252606 93207 17170029
4096 24 1508425680767 479980709 311248131 623415340 260411046 1904060549 374855883 1679886300 138293 119440199 1507799023 458377 56499907 249889394 53940671 179807141 134879 21819522
4096 28 1800886490555 598119623 391954595 764738112 316868395 2223989223 442689351 1956600363 171878 139382095 1751437811 568065 69893758 294513364 66452681 236212388 207368 26894162
4096 32 2139878448609 739631577 493026970 921021689 381784339 2547797032 566451861 2190294242 202968 159099733 1949814682 737981 86074088 382158287 83043824 309207130 260281 31431632
4096 36 2583966502845 932629754 623384187 1083802891 438899803 2834037532 631791561 2447320832 256081 183950738 2166016552 847716 108264739 434759781 100778604 404771042 252568 34291558
4096 40 2975412050807 1097518208 725958021 1210218402 482460945 3111826218 680958754 2713064239 262727 212395061 2384803046 926125 125531029 487488914 115544700 489860339 235168 33895675
4096 44 3451356260109 1288347542 856193781 1353067077 532472826 3403835645 735401773 2994744544 312229 243451897 2618795360 1077694 146352204 519786889 130252922 589742758 259009 33745671
4096 48 3898272608267 1483387616 976718354 1474269739 581296919 3675852876 821295490 3231321012 337935 276194261 2799827266 1175922 167911639 595231721 144498141 691049370 254289 33169731
4096 52 4364351015019 1699764543 1114181408 1596321280 622975300 3924501204 896991379 3443422603 390753 312140983 2977215300 1291736 196029055 677391970 157644393 803994092 232258 32219649
4096 56 4880740164043 1906383358 1246397529 1715267269 662475069 4193831651 981361492 3678762067 406215 344715789 3153634256 1449203 225366467 750284182 167992673 904728107 208725 31513916
4096 60 5382441026414 2110762261 1366949724 1801247274 690211997 4448671837 1032872908 3928015979 434399 382974729 3358410581 1635711 254725550 809744278 178019198 1009287976 170235 29916873
4096 64 5896968121743 2314663718 1493070893 1910687835 730919823 4704594807 1112469433 4156598932 515602 419062690 3538444711 2208542 279947594 891138388 188593332 1116137464 224780 28408925
8192 1 47204636111 6382146 239373 16221197 572310 73311345 211362 79484248 24827 5657837 72979595 22555 37021 14628 18846 28117 669 3729
8192 4 204945392143 47545553 22998779 68628095 24446924 310012515 21562078 314526089 18259 22715677 285012887 43395 3113198 2698629 6646484 11315596 2714 1289598
8192 8 425448577248 100264460 46516347 144895763 57952581 608124405 45230578 616131860 38603 47271448 559126094 90715 5945395 13468413 13704208 28060132 11750 2526719
8192 12 656009115566 160724932 76838368 234919109 89035904 897121698 63802700 916157464 56631 70668416 828532339 167394 9861838 27548122 19494525 51053117 30504 4107830
8192 16 898009711431 227315194 110421238 326637706 125337855 1202990615 82511344 1232585646 78784 95449674 1112779143 222034 11431538 28644999 28484308 80086171 57556 5351005
8192 20 1157191532844 316707232 164636849 432033717 167476940 1501563802 112529544 1524639204 97762 117601667 1377924722 294500 18555343 43122296 37997957 119764435 103832 8428240
8192 24 1430069217474 414558222 224232322 538700502 212509230 1807678322 164585059 1811082343 125237 139909452 1631133707 432784 26396670 68552577 49766650 167425838 155688 11198179
8192 28 1699111964216 514652673 283151557 646758942 253402701 2116990923 182381649 2124993916 149158 164766846 1915943743 541554 29887995 70792921 61924879 221267580 235193 13168974
8192 32 1987497767463 623019747 348125657 751782141 294858582 2417470599 232009277 2409168310 189773 186417180 2162580281 677172 37163705 103324012 71286319 279713747 303931 15770512
8192 36 2411326742731 773187970 448432821 889779922 347179130 2720860095 301065568 2675413758 221128 208838833 2394794926 772542 50349473 144257313 87768604 362998289 281233 17843908
8192 40 2865298839447 971825533 577587635 1014568437 396895050 2994316011 333067054 2956389338 243853 234400855 2629949716 875760 68974995 163076067 106213582 472151949 258443 19437440
8192 44 3286324835594 1132537948 674946220 1121239991 439841811 3279042880 361326102 3249301635 272495 263838924 2880752415 990121 80257932 181562266 119833100 567642434 242806 19935188
8192 48 3743437039705 1307855103 776956159 1235356783 483753698 3558906118 389438355 3539828503 306821 292528000 3127546119 1066662 91780054 196056562 132196008 670728750 258830 19117644
8192 52 4241209312464 1483497470 879476064 1307737708 515315476 3842821797 390625322 3862618778 330010 323712105 3410871555 1218942 100606100 186849300 143064922 775772983 221427 18588197
8192 56 4761148673046 1662146410 981646540 1416025017 555145367 4116142621 418969654 4146083794 375526 350562726 3653126149 1370407 111956994 209988838 152768943 884634186 178253 17199962
8192 60 5326860105792 1844227617 1089922380 1516249968 593753331 4405772915 448751610 4438255026 441415 376984559 3906240987 1592371 123660576 223071479 163375466 999085343 132886 16318136
8192 64 5920714477146 2025754139 1193915240 1580550591 618889323 4684613591 440590688 4763341356 483632 403704834 4191610908 2130352 133817537 212682874 171292156 1112089430 92401 15713029
16384 1 47195481055 7826370 373311 15079769 317197 71198993 66521 77957878 10713 5969924 71036562 36880 299411 12891 18160 17773 88 27704
16384 4 203610632345 45522970 19718104 68101085 24584051 306091663 20519312 312491634 15936 23401656 281102458 41578 3286260 1131575 6688507 10174453 2941 980888
16384 8 421558819278 94647605 41054702 143343447 58327049 595194931 34350976 614076156 36579 46497424 557751252 91300 5792653 4721057 13994604 26859348 10436 1690383
16384 12 648631488728 151956084 67151770 231325687 89329069 878242477 39196520 919047633 56482 69777022 833944331 153136 6123660 6878949 19614568 51375880 29084 2540850
16384 16 894604694381 228736448 110918235 326789963 127763975 1175716866 67846177 1215439500 78107 92385514 1101750514 218748 10496910 16764355 30319499 86047890 57334 4122315
16384 20 1140448488100 303662178 148950923 414051701 159505684 1474502748 86541917 1520394040 97637 115404800 1377103524 313316 13049109 21453215 38304352 125176010 101205 5292725
16384 24 1406930132523 399065712 205358437 514527796 200122234 1783388109 128350193 1814684702 121230 137649305 1638512168 425577 17134713 36162920 49539692 176989776 155534 7340568
16384 28 1676851772060 503415043 265513224 608205874 244626231 2096875895 159781334 2127270777 149932 161639486 1917005575 534111 19603436 38482881 64118474 235773726 239990 8631158
16384 32 1958636149730 610723597 327261418 702865828 280301310 2402333366 181571893 2436182664 171716 185233425 2193858799 620852 21842971 39306660 74622273 300144799 317052 10429782
16384 36 2380803151662 758558566 420080626 810294290 327725409 2691172202 224398826 2719449337 201186 207977964 2438851193 737457 31402506 61390493 91079441 384800364 277522 11432529
16384 40 2790540406770 892097455 499210010 894626441 360198391 2977679230 240012725 3020803629 238985 231606620 2704694067 831310 36104435 69688418 102428535 469245816 258880 11712170
16384 44 3225907833076 1040245541 584736485 987110304 399112733 3272335578 286020538 3300003530 269587 255458039 2950884771 867823 43928026 95971860 115032820 563379544 243779 11349082
16384 48 3684644928987 1203669374 682393036 1078868383 433425277 3541230277 294436221 3594402483 302651 280429206 3208549191 1021684 52190616 102984578 125292770 666900689 269650 11809934
16384 52 4200898111187 1378711080 784346461 1159787990 469241301 3839146018 300849627 3916915754 340895 304697574 3493158791 1178358 57130236 89957304 138372075 782753885 223702 11317828
16384 56 4734408215319 1546838713 878877612 1249036016 505334054 4114889745 326539142 4202984862 368731 328942256 3743929724 1334114 63201634 111182924 147648087 895155111 180524 10660287
16384 60 5352858024237 1738586789 994403652 1337832214 546124428 4412546310 351153651 4510995704 399758 353223650 4011662654 1586606 71861395 113776692 160876994 1021967333 119847 10226235
16384 64 5964211501571 1918539939 1089426406 1410713478 576596094 4705431720 362055785 4823981723 469910 373694417 4293254536 2116083 78588372 110108463 169053436 1142201523 81079 9656258
32768 1 46929730359 6853738 429719 14025644 347948 69769383 69363 76931511 5980 5994310 69906733 43061 300059 11186 47708 41776 42 22241
32768 4 203195544738 44357098 18889709 67086241 24948087 302742477 20982581 307719723 18729 22948589 277166246 42730 3559726 1170838 6699127 9717900 2218 862228
32768 8 420538278434 95965223 43383523 146953188 64852321 599492940 43974350 606245292 37844 44928486 549931858 88551 4849949 5225258 15696143 27115952 12502 1524488
32768 12 648066702856 150822516 67039112 233399591 93761633 868811193 38561455 907780287 52016 67658629 827226622 154643 5998994 5387267 19745886 52604300 29980 2041838
32768 16 888135589070 222464988 104898886 321829922 128140446 1165192079 60886392 1208308446 82546 89820763 1098188609 216675 8293634 10357377 29722035 87228732 56196 3023824
