# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 1 45519466614 252127 269784 10158492 376510 468780 83906 760203 2080 173027 213558 2708 2006 3082 12934 11619 7 325
4096 4 183752722439 4242480 3182074 41095533 20448012 5663522 4377393 3435686 2909 381731 168681 7930 332085 243208 764224 1646176 664 193776
4096 8 370536916350 9668987 8103210 84306942 46103139 12895833 10514073 6789258 2916 607487 449857 8897 901965 614857 3516344 4050781 11287 449490
4096 12 558929212171 17565080 15234945 129423911 66184980 21571613 17892622 10309292 4947 808234 482876 15763 1294396 1007938 6864894 7476962 27442 850873
4096 16 754353109774 33364556 29216030 183849490 92414049 32279352 26874376 14391523 5427 1136536 786711 17731 1737502 1665058 12277210 17013021 32160 1365941
4096 20 954626356685 57201659 50191185 247390746 124213925 48117546 40559979 19673437 7434 1379176 1260304 24029 2123303 2232623 19754453 31457260 28288 2496921
4096 24 1155204045498 80605589 70753332 311548977 159252065 62451783 52888274 24748436 9955 2058218 1355085 32645 3349235 3083731 27223371 45899141 24620 3877633
4096 28 1352620349576 94118278 81360246 362455718 191386827 69258166 57746275 29576861 13336 2365068 1662343 43983 4150634 4017057 31356112 53141318 29879 4535291
4096 32 1581758352736 113719272 96335142 410028275 202141217 68488128 55965085 34486102 18357 3789965 3394254 69251 8800532 7798855 33399281 61836010 31464 4902490
4096 36 1827306895960 133238837 110393565 460808064 232220844 70097050 55978648 39787567 24274 4982563 4271808 87316 11005479 9933492 35758094 71268301 31823 5280354
4096 40 2072078581182 149822719 124627522 507692371 244430684 68395694 52731381 44165142 28951 6502514 5933223 110777 14310605 12176194 36773657 81224155 31076 5258237
4096 44 2309699826066 164882361 135947113 553963531 260832504 57765186 43312498 47361099 35748 6928330 6231209 126072 16105366 14862731 37291005 91089883 30053 5456046
4096 48 2541045912686 181507653 146902822 600220995 283796440 55279955 39851537 51851627 35394 8192547 6836323 138547 17938731 15570323 38594722 100556254 32845 5881659
4096 52 2765052430069 196949949 159662082 646617329 296695241 50778479 35928277 55699715 42260 8836344 7800438 162808 20277746 18102717 40421282 110321323 33311 6138502
4096 56 2985237082977 216743017 174547979 695926080 321380404 55873298 38970650 61037120 47669 9972955 9227660 174434 23210778 20693531 43679496 120166449 36842 6598847
4096 60 3202490598937 237263066 189954511 745018232 333776473 54590166 36708099 63989141 53153 10927761 9840297 198450 26706825 23812813 46055290 130242804 39136 7256658
4096 64 3415181776890 259560037 210109509 790181778 350963110 59203906 39706441 70853482 60369 12204764 11207938 226068 30838872 25932658 49829695 142330163 42711 7959623
8192 1 44895633319 246066 306999 5044706 296282 72710 9690 314043 326 145340 115500 1991 1347 1842 10055 12059 0 249
8192 4 180186319066 1801938 1442149 20728254 11917984 2829080 2350343 1645774 1061 238838 98174 3316 315254 102249 485624 776474 207 60193
8192 8 361487162281 4139893 3551613 41568588 21832554 6273011 5045531 3518883 1534 369386 203154 7429 485712 248110 1569325 1572346 6185 186963
8192 12 542619828296 6490209 5580525 62920993 32820661 10550778 8663735 5198503 3512 459332 289741 6410 541331 521668 2721840 2249632 14894 402766
8192 16 725827068304 10304266 8821451 85406307 44772766 13824567 11230538 6849510 2418 568259 505606 13328 847514 754643 4193948 4198810 16519 574800
8192 20 907630014612 13176142 11593212 108373525 57902668 19783106 16437146 8881556 2875 770955 509116 15202 1158670 1109044 5842765 4953723 29898 748252
8192 24 1093373892765 19608432 16920635 132465133 66475917 22031789 18291467 10757511 4061 921433 682909 15313 1113621 1570039 7634390 8878393 28932 919462
8192 28 1276865946419 23790637 20701401 156230012 81462465 28253617 23605679 12724599 7618 1038121 890852 22773 1491780 1543014 9781806 9960041 38934 1203769
8192 32 1479726384661 34469704 30309622 186002039 97971092 33627733 28112954 15015961 7222 1222774 904134 31298 1822196 2038207 13230686 16910106 36148 1512603
8192 36 1768046588062 48348743 41877420 218706120 109706175 36278537 29971593 17563920 10575 1484172 1232549 53326 2180842 2724155 16335182 26657399 26382 1850752
8192 40 2072717273702 61371908 53019897 252079048 125315572 39265155 32025166 19944155 13353 1622002 1419113 60663 2584149 2938073 19611952 35679350 22063 2011786
8192 44 2379588423293 71526811 61058774 280974263 141317180 36351494 28654925 22185540 15644 1904380 1757136 74824 2909025 3807355 21085390 43262162 20100 2027572
8192 48 2653287692075 80900945 67652729 304929787 149027074 32035022 24012382 24208689 17387 2353256 2490637 78047 4096030 4777142 21259939 49094237 22436 1976741
8192 52 2897131055013 90472719 74774526 326628879 148976322 28736613 20648996 27493700 20933 3359262 3722294 97774 6775532 7978420 21273094 54686220 23149 2042686
8192 56 3147491057994 96097532 78929455 351857465 162210252 25043998 16882250 28616454 20300 3367196 3770387 88013 6125646 7818508 22355227 60412861 25544 1969820
8192 60 3397692981947 104108417 85858192 377160224 170382487 25616659 17503575 30626906 20162 3489783 3872751 103173 5910261 7809221 23841401 66221122 28574 2034888
8192 64 3630264296346 113781166 92909371 401897282 179847530 27835632 17951470 32591941 24550 3545706 3898748 121176 7015250 8746108 25784682 72892336 32335 2185694
16384 1 44563525099 185752 225599 2598774 248011 60780 10862 181187 409 69148 48423 1070 1072 1244 12532 12241 0 150
16384 4 178538331405 1018302 868388 10294393 5878080 1287879 1091162 960064 974 164023 55259 4647 76854 51256 263159 377155 200 16204
16384 8 357459785816 2090828 1707105 20776048 11086784 3106897 2536439 1795867 833 235821 130656 3758 336863 208296 774627 687317 3138 135803
16384 12 536239412955 3161031 2616761 31536678 16529545 4940846 4072167 2738301 1256 305492 143133 7702 281140 280328 1216074 947672 6050 214528
16384 16 715608717701 4457425 3829061 42371085 22177017 6930543 5710256 3567743 2286 375370 204898 7856 559469 471764 1744364 1574700 9662 250178
16384 20 894610067919 5627762 4782170 53827419 29746822 9559947 7997502 4526485 2572 433558 283704 10300 643226 570930 2377479 1771485 12646 384370
16384 24 1074509080169 7120618 6039515 64433426 32655319 10809904 8880516 5453614 3483 514418 362153 13280 538744 732517 2836270 2705168 14861 398095
16384 28 1253099559113 7022110 6140815 74619477 38746125 13012446 10775742 6306675 3166 603439 400270 14756 900205 817864 3244734 2150208 22603 514263
16384 32 1445498770444 8875940 7698101 85858025 45073663 15194138 12605516 7147979 3786 719558 630994 19446 846902 1008623 3952219 2792950 24594 593663
16384 36 1729294643109 11888161 10254294 98269346 49756959 16093973 12948163 8449499 4600 714501 598306 26511 841673 1216521 4696749 5063261 19248 487786
16384 40 2019713039427 15028837 13060826 111587016 56034139 19200402 15730320 9746749 5344 765818 698714 27031 1105309 1398452 5862233 6801369 16947 494288
16384 44 2313385720417 17459191 15136907 123783396 61555037 20880400 16919822 10704982 7077 791917 802130 28488 1129658 1443723 6550964 8298038 18927 480268
16384 48 2620782466676 20016122 17513619 136982252 68513136 24161440 19551996 11872240 8848 864900 842440 38585 1218203 1308942 7686922 9656818 18108 473004
16384 52 2972336319488 23454739 20384808 149701056 73955057 26086526 20809574 13140430 8000 967060 1007477 50277 1319709 1578354 8664235 11750450 16296 403318
16384 56 3336748809967 27212490 23712485 163272157 77959977 29044033 23257697 14574156 7876 1019240 1184360 57969 1500624 1987022 9720715 13777486 15769 374247
16384 60 3728742720044 30518904 26667338 176551032 85807880 31337317 24680239 15596218 10532 1026784 1397213 49409 1606690 2213415 10777629 16130997 13938 266682
16384 64 4143375330157 34597807 30341617 190054890 92863052 33996133 26526023 16524841 7550 1103610 1441360 66938 1760930 2399566 11831681 18516345 13287 176968
32768 1 44412205827 195240 225530 1342869 129201 30111 6960 90523 126 40644 27541 811 677 716 11535 10549 0 62
32768 4 177705265158 757397 705375 5493692 3062140 855615 625310 456184 553 74694 35088 985 18585 7449 196730 251749 86 9919
32768 8 355677559780 1296203 1127076 10982752 5598833 2366821 1918401 1182627 513 183356 72645 3708 133140 29648 532548 337153 2852 62984
32768 12 533373436707 1845961 1622341 16550454 8504300 3452860 2844957 1659080 922 185362 170021 3369 361631 117368 771424 479081 5200 104102
32768 16 711534971515 2669274 2201787 22220351 11082156 4540711 3739923 2197104 1971 240034 213874 5902 349784 247208 1042441 685236 6827 218122
32768 20 889487616327 3148153 2650256 27824280 13881394 5452116 4538390 2639987 1232 281920 222079 7260 373065 318093 1200531 831420 8449 237989
32768 24 1068029324518 3897441 3316348 33561997 16687492 6859841 5606769 3212841 3604 356511 295542 8795 382859 331682 1547155 1107267 12950 254082
32768 28 1245855071768 4162751 3576898 39234257 20079422 8050152 6636344 3722784 2606 457259 313321 13903 525381 443139 1723914 1098888 13388 299919
32768 32 1432255113277 4586900 3916103 44836780 23250716 9135821 7514838 4264217 3018 455309 422162 13082 697522 540807 1920386 1307902 16806 336270
32768 36 1715277057314 5813862 4886532 50675142 24959071 10060127 8049971 4925814 3355 501046 424069 13255 649731 663370 2308904 1890445 14111 326567
32768 40 2004281045459 6918054 6078065 57138329 27894154 11764468 9579390 5614034 3216 473119 503804 16353 664074 701979 2792047 2350413 13573 323765
32768 44 2295055062647 7549243 6588218 62986993 30420598 12792102 10235738 6248849 5207 510243 589102 19516 713540 813326 2995324 2799700 12562 292277
32768 48 2587918643468 8163507 7116952 68623179 32204758 13707152 10865960 6883023 5220 584200 591864 24535 692288 819420 3197312 3151826 14328 265829
32768 52 2940667508136 8999898 7879011 74930438 35438909 14933647 11578178 7477701 4944 554612 654267 27404 950024 1095175 3469997 3651389 12276 233820
32768 56 3300837638439 9551488 8318183 80143181 37503437 15117444 11664017 7986293 5323 542787 708076 26816 837349 1036280 3546120 3939310 9599 201621
32768 60 3701317021806 9997542 8675246 86070358 39196768 16734416 12833050 8592452 6420 593941 777306 29951 835022 1110567 3747818 3996615 8327 149637
32768 64 4127091361398 9601649 8249607 90475514 41378401 17157620 12876620 8593396 6456 616953 950240 36485 799645 1251581 3501077 3876330 6651 81568
65536 1 44511273081 162790 158061 678920 77001 32380 7034 63376 1 10464 13149 615 426 446 8620 10373 14 99
65536 4 177733676270 657366 619874 2856365 1277571 313538 185158 264153 223 28580 22653 1070 7922 4927 148778 174074 40 4072
65536 8 355406341716 943223 888522 5739184 2251699 1092377 701346 714748 1499 72533 50291 3149 30897 34350 317855 251355 407 16849
65536 12 532831474619 1282152 1157718 8702301 3271607 1632401 1118116 1116669 851 164852 66696 3543 30624 26830 396810 379150 662 28113
65536 16 710582973227 1427696 1305504 11632970 4310472 2129761 1507310 1488756 1154 185930 145503 4311 234352 65159 517050 437998 1381 43009
65536 20 888218426725 1796824 1568696 14611244 5580772 2563305 1811192 1832184 965 235767 170126 6270 348556 209604 582780 611100 1536 52466
65536 24 1065952212453 2116111 1815588 17492418 6442307 2958410 2100935 2074547 1226 198778 247309 6108 368485 269585 689524 701741 2370 89351
65536 28 1244729423173 2731913 2300762 20917006 8043925 3237362 2311804 2437762 1422 275836 275408 9641 345245 362497 760859 958558 2337 126097
65536 32 1435006027169 3171956 2619545 23638179 8930117 3854499 2801100 2789442 1303 321572 288264 8830 330975 360335 831754 1077974 2762 131871
65536 36 1714463891692 3397876 2919386 26697688 11371476 4721714 3407283 3164950 2531 323508 329337 11192 323015 370824 1002372 1159578 3110 127623
65536 40 2001760397392 3871297 3333332 30136550 12581799 5535140 4077774 3531460 2916 344807 343012 14568 387825 361772 1146915 1368198 3286 122582
65536 44 2287844217254 4100319 3598568 33489550 14417401 6047043 4466979 3913327 2276 385805 427318 18527 411975 407663 1247707 1563149 3361 109824
65536 48 2579652862324 4430081 3860699 36572324 15723931 6561183 4767288 4166198 2379 372325 387052 17969 588819 402160 1282553 1772858 3000 107099
65536 52 2936190902565 4770537 4150296 40014394 17829663 7706698 5729637 4501652 3799 411274 449668 18600 667555 580068 1408006 1890967 2970 100106
65536 56 3293795904210 5212248 4480646 43165020 19570592 7813902 5716216 4748293 2995 428977 500949 19005 673277 704156 1474767 2081234 2732 92865
65536 60 3690546341970 5409045 4617993 46811188 21615617 8699283 6563168 5022112 3273 486246 542570 25737 626692 805370 1519189 2226926 2718 67301
65536 64 4116638838402 5356444 4484821 49154059 23544594 9087025 6760436 4839249 4779 463600 595877 29449 604903 722836 1358021 2090165 1556 63357
131072 1 44397465667 149074 141946 341927 76713 6318 4850 21800 1 5221 1241 9 97 180 10608 11692 0 63
131072 4 177744279093 790190 721802 1389094 610214 179429 155424 96241 37 17923 2461 121 4158 849 137420 348661 12 3816
131072 8 355283601882 1064708 980272 3036273 1426458 697204 493798 350917 714 45255 6834 485 7536 1142 282579 434692 32 5187
131072 12 532901832103 1360972 1221529 4671019 2147943 977290 774652 621562 2428 78092 7333 1877 12951 15374 357567 627643 58 9210
131072 16 710323176312 1621184 1448172 6125743 2690514 1165322 936557 829986 766 174999 43132 3446 30016 35475 411242 747138 43 11123
131072 20 887860933113 2069660 1807268 7775131 3360790 1245410 1031401 998587 266 192233 102705 6754 113460 25943 452557 939165 74 13406
131072 24 1065407256250 2105584 1870051 9588656 4007342 1411963 1097481 1195442 507 219449 105721 3513 321512 197322 446601 962811 97 14980
131072 28 1243689567838 2610958 2298881 11433225 5111150 1592309 1258257 1341205 986 251965 116603 4697 329171 297718 480194 1261741 139 25359
131072 32 1427123167752 2619554 2300829 13365174 5965546 1886516 1491733 1530963 697 255738 137616 6767 292440 273066 444028 1321065 164 61393
131072 36 1712547186217 3127402 2702476 15036070 6781236 2152377 1675272 1711700 1263 264701 149704 7084 280066 290367 564775 1381173 393 79143
