# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 1 49294775376 14314724 8905332 18087197 397709 70335707 9023876 69296023 46711 5616442 60883900 10133 3280097 8620156 38409 41969 5 854605
4096 4 225327921121 90094767 65588285 92801748 42262854 315347508 87500076 253877397 18364 20355318 222783746 47520 15418643 57805235 13622420 20623520 3502 5290677
4096 8 477708200605 164848626 121180158 178156872 84470550 607546501 244858385 404880364 37173 32452622 358395532 95198 35067544 210146827 21444400 44256379 8616 10743661
4096 12 740102912771 256279586 183860343 290778521 136967312 917491001 326323490 656620143 59926 51082996 584523887 171488 48180476 270621937 32036298 77879805 20289 15688916
4096 16 1036834424102 363704846 261255640 424897123 198342470 1228992087 430089039 889474152 83074 67854630 788892053 282954 64009249 354174372 44832240 122431252 41285 21332335
4096 20 1336254860078 480430063 339465394 552779203 258935189 1536663606 475877016 1175009705 109879 88799268 1043771675 365365 76484555 381834977 57647648 176057106 76411 26255433
4096 24 1663174894857 588304183 416924738 680314021 317463031 1866628794 632413054 1370357922 136760 102829659 1215029269 463986 93854206 505092689 68547233 228745766 112547 31654996
4096 28 1988150999599 724878301 507573682 831546639 375986352 2183836818 684237466 1667595062 170795 124419630 1472033985 623454 107273486 530330363 81468051 297206425 176224 37606989
4096 32 2335529332014 874857959 612587651 981204196 435846132 2489678220 750398764 1937753934 200381 145253576 1705000148 740525 123369819 580195034 96622007 375366048 235024 43822073
4096 36 2800540314096 1063064176 734667211 1150540256 499072033 2803041280 784110069 2266155078 232286 172842783 1981425478 877770 141066007 573697685 113734267 473753386 217491 43071119
4096 40 3275097633208 1252567117 862791655 1309688010 549618908 3081901865 889664546 2473903100 261518 195210128 2151427814 991254 172293648 667042921 127450140 569372722 213736 42915765
4096 44 3759352707060 1470011834 1004360539 1450327965 598771778 3353760780 891043888 2789252007 316512 228880239 2416191203 1078685 197310663 657996351 142955086 685762736 247281 42228795
4096 48 4252835280182 1706948956 1155254358 1599119316 644335955 3613928714 869645759 3124032767 358999 266238086 2692060248 1213815 221703852 633811190 159158714 819161101 254710 42381180
4096 52 4729487692298 1894554625 1283298321 1699344713 683731383 3872122605 1012802114 3267416826 395637 284439378 2809680451 1400812 259937043 778705967 164433909 912184823 235020 40156605
4096 56 5271126600901 2132468446 1430669163 1821538986 724687905 4132755304 1044318491 3543062045 410035 317136040 3036403247 1517682 283198159 810195103 177964824 1043131943 186453 37898942
4096 60 5836585317572 2361412299 1580342230 1943716069 777749047 4422399595 1099716286 3818812104 466490 342761276 3268250716 1652147 311806432 848897750 191755066 1180617239 211208 36460263
4096 64 6377235300025 2586624244 1711294714 2018733871 796695923 4659518093 1125451897 4077078854 508448 381436667 3475678896 2131532 345762656 889322353 197808706 1300777500 185751 32703904
8192 1 49131048924 14298345 8452249 17671448 349239 66884234 6324849 67607682 44859 6044104 59951960 10816 3240967 5870036 30261 67832 12 986282
8192 4 227231310240 90652864 63980856 97292194 40802560 302844805 62662397 267194783 17930 21569425 233942512 45304 14101091 31937145 15033129 19769196 3907 5211905
8192 8 487385050593 185175663 132380912 214310186 92325293 570582242 173137044 446979914 40322 38969749 392102396 155101 33831092 135096607 26803080 50150992 11086 10751005
8192 12 765629151623 295876290 207901613 360345653 154012460 855552640 242793720 688269743 58374 59001200 605006217 206319 46880657 187463180 40195720 94589790 24377 15700576
8192 16 1069062520045 422207544 296938285 521509987 219954159 1153040412 331827924 922015222 91184 77484432 808693259 300207 63050082 251453200 56000213 152257294 42393 21006627
8192 20 1376621682544 548590052 383423422 666437738 278980641 1448252287 415964811 1159699247 105899 95622092 1015673069 430462 76412427 316137051 70907406 218066196 74629 25932658
8192 24 1718003498702 706754192 494751676 847685898 352073291 1764527687 534497401 1383057529 136944 114063212 1204399807 503915 93811702 392101146 89166581 302030212 113462 32177162
8192 28 2059896869401 868219458 603509874 1005132392 416806772 2071385049 586146593 1669669871 166375 135618878 1453414264 599527 106489522 413672369 105665462 393425424 177271 37373326
8192 32 2430837120576 1054754130 732989468 1179735345 486598151 2378263364 682071724 1918161977 212911 156667008 1658739495 763188 126151925 471901273 126127794 500615278 229294 43727247
8192 36 2918905931351 1274184054 877820694 1364631648 540738854 2652341827 732355416 2181765040 237010 182138856 1877315499 915807 147329217 506306112 143689359 628453294 205989 42686408
8192 40 3427976385221 1524623057 1036228946 1525392163 608581189 2914415760 680899571 2550837751 254731 220157916 2184595006 1036858 163999142 441455726 165128480 775462420 210779 41715903
8192 44 3919678542946 1746990176 1184008644 1689991709 655379032 3182633213 823725311 2711631239 297695 242865650 2306573731 1192549 200130214 565890050 178384886 908147274 206324 40976040
8192 48 4463554333223 2022323430 1360281816 1858180196 718553829 3441146716 831870033 3020141868 340289 282933897 2553617618 1308369 219921871 557318490 198854546 1076081106 260073 38596884
8192 52 5019319227117 2276261643 1514927400 1988861506 769825576 3717072306 820351617 3356711104 377038 319171211 2833240990 1452849 232988063 528410465 215056214 1235518499 228516 35990116
8192 56 5628067519239 2535565213 1683899896 2129272967 818607550 3970134999 906597414 3565991431 433298 347749693 2997413866 1561326 262329777 609237878 227208920 1394298404 204868 34184098
8192 60 6281097526552 2806991349 1849893068 2263424805 870753873 4241544707 968545130 3823653692 452278 382281632 3201123986 1794567 283824315 651571308 242763080 1566464589 233733 31081314
8192 64 6924113644567 3055707269 1993818547 2368065282 905234366 4479959228 1057125847 4014171657 520439 413872377 3346553048 2329980 314330587 748448361 248736248 1716329650 164813 27146199
16384 1 49031071515 14797968 8466446 17252965 335121 64721239 3254479 68943472 49694 5785988 60984736 6089 2851454 2871614 26402 77191 13 863903
16384 4 226401279190 88576108 62933593 95936533 40429329 296511593 60059502 262249169 16808 20329808 229475381 42095 13054933 28505283 14912084 18838302 3917 4713705
