# size cpu-cycles node-load-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 5124151 3642 388 0 0 0
8192 5694208 3682 286 0 0 0
16384 5523184 3694 377 0 0 0
32768 5838801 3906 389 0 0 0
65536 6094769 3886 286 0 0 0
131072 7294461 4382 346 0 0 0
262144 9601091 5499 517 0 0 0
524288 12995769 5722 518 0 0 0
1048576 20750049 7460 828 0 0 0
2097152 35056782 10693 812 34 0 0
4194304 62877598 19772 2044 316 0 0
8388608 118267540 53130 3073 404 1704 0
16777216 313458931 45613 70057 4021 33281 6011
33554432 744828790 114543 209125 4340 45007 32896
67108864 1492367639 187655 352726 8755 81051 64294
134217728 2950179186 364059 541100 16587 201714 151352
268435456 5932069758 689447 1162420 30154 364179 295122
536870912 11696441389 1434402 2289134 69718 701976 583900
1073741824 25194836153 3431519 5894063 700984 1489242 1194792
2147483648 53619556679 8558250 10621237 1750850 3310803 3464043
4294967296 108299866830 18701222 18053254 3547050 7485108 7881682
8589934592 216202145599 37488699 26265271 5188770 16058194 16168580
