# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 3455400 2993 2458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 3462668 3112 2671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 3469163 3083 2620 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 3667081 3213 2656 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 4194678 3317 2873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 4767474 3036 2611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 6231106 2837 2428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
524288 9039752 2902 2501 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1048576 14307044 2864 2638 1301 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2097152 24517650 2479 1769 877 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4194304 47403253 5653 2504 6754 176 1182 3795 0 0 0 0 0 0 0 0 0 0 0
8388608 89949716 12098 5445 120492 9839 98 18 96 0 213 897 0 0 0 0 0 0 0
16777216 192012534 115044 17242 675286 69391 60092 447 1035816 14 78196 910602 1144 128 206 78 115 71 6
33554432 391991650 806015 14138 897293 7227 2031068 954 2212767 28 165613 1996377 3027 649 541 388 290 449 22
67108864 781645057 1374620 9388 1754866 12476 5801105 1304 6544739 57 486271 6007882 5976 885 564 383 429 653 46
134217728 1557757653 2610016 14056 2873140 12646 11235274 3416 11418486 110 918230 11618205 10867 1628 961 726 898 1598 156
268435456 3105489840 5460346 19862 5232007 15570 23175090 2457 25274960 216 1841495 22915359 30860 5439 1987 1709 3482 3685 378
536870912 6226819459 10987739 26318 10603903 108782 45129472 5242 48994632 447 3687673 46322677 44546 5892 2503 2816 4386 4619 479
1073741824 12470894159 21740345 39276 20705615 117445 93729762 10483 101869872 927 7634026 93807784 95881 10094 4927 6185 8406 58012 1406
2147483648 24936122933 42515238 60554 41222794 303640 187764465 19878 204587778 1862 14684766 186502853 186675 20120 10129 11373 16271 19273 2693
4294967296 49963399329 89515949 111285 82369014 424318 374789476 37377 408689572 3811 30458005 373726836 378079 41826 19957 22741 30486 41072 4623
8589934592 99916228898 178887494 198546 164342593 546046 754386893 68688 823058343 7484 61313220 752575109 754999 83448 36080 37764 58298 98553 7591
