# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 3466443 2246 1846 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 3886051 3333 2879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 4015789 3016 2612 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 4782317 3049 2642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 6140200 3391 2937 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 8791991 3444 2852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 14701953 2479 2269 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
524288 28138836 2599 1530 776 1703 0 0 0 0 0 0 0 0 0 0 0 0 0
1048576 54319992 5421 2527 77 64 298 663 0 0 0 0 0 0 0 0 0 0 0
2097152 101158520 11714 3784 278 81 7 2 28 0 1 8 70 1332 0 0 0 0 0
4194304 233085980 8269 4593 1307 407 682 519 38 0 52 0 0 2 2 70 127 0 0
8388608 487654146 107336 9019 68265 198 12 0 117238 1 115905 77 1511 907 0 128 250 0 1
16777216 1412071965 3238004 8174 946076 4661 226 46 3480452 44 3458793 1083 19301 3474 12 478 784 1 54
33554432 3527414735 14016043 15425 1356516 28210 2254 318 13753411 191 14388228 910 16740 2310 3 1644 2079 2 230
67108864 9621040868 64146636 23319 1437442 11114 13214 547 63542030 512 63489106 3217 42052 7906 484 5170 7759 86 573
134217728 19854095851 135417407 40495 3096228 18866 32093 577 135044031 1084 134778708 98443 82727 13975 1505 9288 15396 530 918
268435456 40337440793 271014940 78408 6183824 33314 243500 1285 271692490 2133 271397895 195741 167363 20098 907 17243 25824 9514 2769
536870912 80853514824 548344224 178997 11146553 71092 2015944 6376 548878366 4898 546904152 2355351 375436 85762 5178 36285 50665 6474 6467
1073741824 174437460772 1167361347 542808 21373202 179395 14274539 22733 1171613893 9555 1154792491 19280120 808968 341613 20450 69640 107692 46712 18501
2147483648 395872217155 2588919842 1085622 42246867 485687 44210066 33273 2604645784 20184 2558274095 42140093 1714924 649868 27503 160438 237248 40018 32910
8589934592 1740119381588 11600146222 2563166 168671938 1595276 244983486 299739 11796781201 88657 11539637105 239974336 9605149 1582755 114324 297986 729550 812296 84725
