# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 3788935 3098 2528 0 0 0 0 0 0 0 0
8192 4164419 2907 2322 0 0 0 0 0 0 0 0
16384 4962296 3226 2734 0 0 0 0 0 0 0 0
32768 6720177 3150 2599 0 0 0 0 0 0 0 0
65536 10075003 2765 2210 0 0 0 0 0 0 0 0
131072 17548349 2826 2551 1821 0 0 0 0 0 0 0
262144 30651795 5286 2498 551 767 1205 0 0 0 0 0
524288 60187522 11426 5259 125 84 29 253 456 0 0 0
1048576 114239716 10726 9185 837 148 60 75 7 9 49 69
2097152 224651633 10211 7859 1863 684 128 128 7 12 97 126
4194304 446628646 11926 7695 795 646 992 592 274 53 151 231
8388608 888485508 18996 9481 41132 815 3419 404 300 510 1287 2019
16777216 1789159387 73772 14277 1315294 1960 691015 1074 70775 6200 2513 1067
33554432 3617884066 388734 18377 4639223 7002 4586251 2627 340651 4482 2076 2908
67108864 7251344484 824728 25390 10122473 9720 10053312 3933 928902 5557 3416 3747
134217728 14498792707 1628329 37099 19862957 17536 20144622 6307 1793720 11096 6560 6346
268435456 29138081547 4573032 56769 34521971 29765 40381147 11638 4217493 22843 11405 12319
536870912 58654658621 12055308 101830 74064730 50179 80534692 22291 13254948 46039 20414 22756
1073741824 118014827094 35850122 180324 143180593 78008 161485927 42476 34836106 98969 30221 36192
2147483648 237470752832 86494694 339791 295805657 192472 324480272 83278 82361201 171522 72729 80369
4294967296 478193727744 199322829 701249 596752411 366308 654677472 180568 193364313 368559 139718 169022
8589934592 957808840912 379615302 1334500 1189891918 572465 1392444919 373141 305883733 747320 227794 328201
