# size cpu-cycles node-load-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 175332106033 1649432 2227708 707166 80952 47635
8192 136193106700 1892389 2680940 827057 58507 46352
16384 110353768885 1744941 3571265 919500 55433 44166
32768 100535509260 1980815 3481920 923121 26032 35102
65536 103317395469 2011151 3314022 926524 28937 35872
131072 101363642309 1743359 3835092 896858 27928 28318
262144 100431459956 2741314 3587500 1357404 28685 34701
524288 108527378962 2232272 3574535 1057139 30492 32333
1048576 106717067991 2078975 3693534 921580 32744 39060
2097152 106499371756 2394594 4907952 1088282 28213 39013
4194304 125344358606 3412274 7958285 2109036 32706 53035
8388608 357778427937 4346409 11196673 2811727 78149 66087
16777216 374655083441 3848440 11098979 2533020 83972 67198
33554432 373679474774 3168122 10747951 2167754 83497 55558
67108864 374722153460 4372751 10683206 2479125 89091 84581
134217728 371966898670 3694420 11435651 2154353 86682 75652
268435456 376348933865 4961906 10324266 2855696 88818 69494
536870912 377101697925 4674268 11553589 2714180 96615 65236
1073741824 377703249190 5284220 12688576 2973139 91616 63386
2147483648 3852344923669 2563374 3614 14452 1465674 905427
4294967296 387633219293 8462637 18863006 5755882 96663 124811
8589934592 757745735900 20145687 33116087 12964184 85389 175617
