# size cpu-cycles node-load-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 6041527 4329 514 0 0 0
8192 5788554 3926 332 0 0 0
16384 6290229 4354 405 0 0 0
32768 6261620 4067 308 0 0 0
65536 6877426 4526 392 0 0 0
131072 7578632 4768 419 0 0 0
262144 9549118 4891 551 0 0 0
524288 12857224 5426 606 0 0 0
1048576 19302440 6458 670 0 0 0
2097152 32463151 9042 960 23 0 0
4194304 57894020 19738 1881 124 0 0
8388608 119724849 50904 3975 476 1880 11742
16777216 313061261 51689 67913 3245 32818 4936
33554432 736498350 114826 157429 4072 42514 32807
67108864 1489178592 187544 305119 7772 77980 64754
134217728 2925759090 295007 620118 14627 146150 140757
268435456 5949565922 641799 1103325 26647 333822 283443
536870912 11606693243 1261480 2207149 58397 632127 575737
1073741824 23116073771 2734800 4327331 103553 1493378 1166789
2147483648 45478947619 5152043 7484786 223654 2715316 2333773
4294967296 90987404334 10652158 12294498 443756 5690077 4670547
8589934592 179920369106 22333477 18050285 984327 12001140 9607166
