# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 1 3558927 3366 2641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 4 5641547 4704 3797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 8 9130939 7058 5746 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 12 12464230 9350 7611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 16 15372301 10911 8826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 20 18702383 12886 10428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 24 22304808 14754 11893 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 28 25747550 16361 13601 6704 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 32 28155515 17940 14484 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 36 31302890 19167 15805 13718 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 40 34124619 20362 16742 12773 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 44 37506780 21952 17962 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 48 41075194 23574 19800 23477 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 52 44186469 26430 21370 18134 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 56 48385342 28522 23649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 60 51444050 29408 24744 35393 824 0 0 0 0 0 0 0 0 0 0 0 0 0
4096 64 55119926 31336 26149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 1 3805069 3026 2461 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 4 6878492 3813 3162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 8 12140260 7122 5792 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 12 17296618 9559 7684 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 16 21737080 11572 9460 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 20 26683124 13549 11010 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 24 31038200 15477 12754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 28 36460064 17235 14317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 32 40754330 19415 15858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
