# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 5101524 4977 4030 0 0 0 0 0 0 0 0
8192 5782432 4326 3414 0 0 0 0 0 0 0 0
16384 7627615 4104 3407 0 0 0 0 0 0 0 0
32768 11045039 4422 3732 0 0 0 0 0 0 0 0
65536 17914256 4808 3954 0 0 0 0 0 0 0 0
131072 35996392 7159 4230 579 0 0 0 0 0 0 0
262144 61729719 13230 5974 203 309 879 0 0 0 0 0
524288 113617900 27380 12944 147 74 82 406 50 282 0 0
1048576 226245982 21443 17992 592 186 179 134 7 3 91 120
2097152 451726469 32100 24840 1366 576 299 236 24 19 129 222
4194304 897178188 56362 49196 25289 606 1739 1450 28 6 221 475
8388608 1793730981 88052 92404 524176 57289 40446 42755 214 3368 850 1550
16777216 3694574191 225006 250790 2458449 2020333 1749443 1795672 5156 118924 1516 2143
33554432 7750121845 873510 860883 8687495 9104556 10408468 10301285 18681 662912 11372 7932
67108864 15632044614 1713420 1692235 17970158 16906443 21981807 21982462 42199 1388185 22915 29197
134217728 31422999287 3403749 3262508 35194446 35614309 44925678 44786803 104893 2864228 72090 72585
268435456 63027460738 6755824 6513432 69277332 67490274 89247782 89187047 244126 5777418 96065 120904
536870912 126061113756 13552235 12953257 136988306 135118627 178591489 178251618 511121 11574273 165393 222939
1073741824 252334666226 26643489 25448858 274040484 270790265 357519284 356706721 1079865 23040082 286216 445475
2147483648 504529615782 54194307 51804862 546804653 538992018 714126900 712438376 1954918 46399308 609424 1068602
4294967296 1006400472244 104000935 99293007 1094939261 1078909138 1431188060 1427320264 4040576 90399717 1229747 1676144
8589934592 2017194538009 203810022 196107399 2189209869 2162014815 2861657366 2853884190 6158598 178603973 2218320 3221468
