# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 4460843 4047 3354 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 4970205 2926 2192 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 6639749 3242 2564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 10035119 3910 3139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 16399329 2980 2808 1646 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 29367428 5747 2869 714 819 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 56442343 12068 5725 136 97 40 300 748 0 0 0 0 0 0 0 0 0 0
524288 119418734 26947 12634 214 90 24 15 80 0 3 2 0 4 180 2446 0 0 0
1048576 238719436 18568 12789 425 190 79 23 115 165 253 0 0 47 3 61 104 0 6
2097152 472883784 22545 16448 856 400 125 40 301 0 3 1 0 60 0 296 2610 0 502
4194304 1000740496 32412 28252 29556 526 193 41 404 4 32 2 0 36 1 272 586 0 27
8388608 2055620687 154078 149142 299539 46951 593 220 1404 256 281 12 28 132099 7 781 1200 0 24781
16777216 8871105726 12571742 12487382 884657 665510 2770 726 51114 30382 8688 570 3 12655779 196 3724 5495 0 2403789
33554432 43062199967 141084718 140866503 1061406 781738 9518 2169 228406 125504 51668 1139 616 141038404 900 18730 20300 3 28941745
67108864 92589107939 329512397 329265553 2225923 1623457 24738 7360 466163 249596 107534 5859 1135 329539995 7657 35840 37026 1 67051953
134217728 184222517634 657507796 656930654 3598892 2627167 57151 18472 1235518 492448 513382 12358 1276 657340569 15587 74691 52025 263 133656493
268435456 372827379648 1342248638 1317707014 5927734 4216061 117321 46592 26450732 1010113 24993624 29344 3741 1317897564 28892 161703 114401 22 269952925
