# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 3925201 3658 3041 0 0 0 0 0 0 0 0
8192 4095217 2961 2323 0 0 0 0 0 0 0 0
16384 4982297 2633 1977 0 0 0 0 0 0 0 0
32768 6841996 3401 2742 0 0 0 0 0 0 0 0
65536 10178088 3084 2422 240 0 0 0 0 0 0 0
131072 17227837 3767 3211 1644 0 0 0 0 0 0 0
262144 30476183 5827 2665 501 667 294 0 0 0 0 0
524288 55627758 14357 6823 112 57 58 268 290 3882 0 0
1048576 114642718 9712 8781 1155 117 116 24 10 5 61 70
2097152 225188734 8994 8410 1943 343 116 69 13 46 70 142
4194304 447103805 13630 10429 1085 660 1140 498 20 54 145 263
8388608 892323022 22119 16754 82965 855 13743 15504 32 1797 1443 3467
16777216 1838216306 83806 89200 1006776 739418 644441 646277 3235 43756 834 935
33554432 3902572559 396949 386470 4764974 4652257 5165014 5104841 11775 366221 5355 1660
67108864 7846185316 828957 810308 8639356 8223444 11079882 11098799 29267 808660 3703 2856
134217728 15732678591 1657444 1630981 17352025 16613265 22145985 22116657 49913 1530101 7027 5408
268435456 31587034609 3297194 3224899 34193031 33717010 44556325 44454353 95461 2921812 15013 9012
536870912 63389602729 6563362 6371920 68387419 66796108 89083751 88869353 192751 5980070 26224 17047
1073741824 126909765436 13472637 13065177 137881335 134762510 178171066 177686475 376532 11670343 53650 31399
2147483648 254055523461 26632761 25839866 273951190 268481054 356732142 355839799 737613 23118840 115841 66709
