# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 5268465 5277 4234 0 0 0 0 0 0 0 0
8192 5960234 4231 3392 0 0 0 0 0 0 0 0
16384 7480417 3845 3128 0 0 0 0 0 0 0 0
32768 10777957 4793 3812 0 0 0 0 0 0 0 0
65536 18373947 4482 3446 1476 0 0 0 0 0 0 0
131072 31388372 5806 3976 913 0 0 0 0 0 0 0
262144 58652273 10079 4834 322 593 0 0 0 0 0 0
524288 121699735 27462 12700 199 118 78 407 55 93 86 359
1048576 275501706 25492 17267 576 212 157 111 16 11 181 226
2097152 451107995 38236 23973 1353 830 296 226 17 7 202 310
4194304 895737751 62631 42902 12105 1006 2070 802 18 9 433 595
8388608 1786920023 97312 80025 444069 1622 13684 594 1187 19 1201 1924
16777216 3593519023 241577 121083 2512218 206970 1365043 1862 103531 2206 2801 2494
33554432 7266635569 872975 197868 11505538 545390 9297490 56898 665097 3508 6546 6343
67108864 14538379007 1693638 246842 26029496 579386 20468618 70589 1408778 8004 26909 40386
134217728 29126309492 3216513 288053 41260662 1122700 40699539 120711 2828201 82097 53116 78354
268435456 58355903404 6540558 735477 73252859 2637572 80832035 310450 5553083 257705 156092 161978
536870912 116746967174 12941944 1203195 152970746 5127550 161424672 676523 11232139 570523 194336 294368
1073741824 233022980250 25570790 1956927 295939498 11495823 323600289 1796880 22368241 987097 411367 638842
2147483648 467563020484 50837908 4082964 593095399 20153622 646399149 2929935 44440632 2031247 857531 1209318
4294967296 937003974914 100706933 7648496 1181141797 36652322 1294226839 5969004 88152077 3833665 1571758 2393207
8589934592 1891175544752 199709765 13422057 2368482781 79890317 2598113769 13355633 175877699 5221757 3326330 4836704
