# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 3757296 3349 2689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 3301859 2723 2328 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 3567270 3328 2762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 3796740 2938 2508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 4342718 3431 2945 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 4718886 2774 2403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 6254615 2892 2481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
524288 9144373 2937 2471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1048576 14806033 2413 2304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2097152 25971152 3029 1732 922 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4194304 49063551 4802 2214 3961 131 640 1349 0 0 0 0 0 0 0 0 0 0 0
8388608 94875770 9177 3776 133054 6167 12701 16 11445 0 1678 8316 8397 0 0 0 0 0 0
16777216 191919489 154407 16678 500254 7707 91185 319 964903 8 73425 900032 901 136 81 96 132 76 4
33554432 393327880 803589 8009 363560 8821 1897817 461 2197556 24 176161 1975561 2267 674 381 211 254 622 15
67108864 787079432 1390081 10040 1389464 8793 5519571 2352 6357640 103 510619 6069042 6290 1061 555 539 664 917 54
134217728 1574192376 2935238 8787 2950750 36409 10788063 2118 11528143 178 966136 11838477 10716 4401 1380 1403 4276 2531 119
268435456 3131285074 5744974 17737 5484539 38388 22557719 2598 24928485 261 1945938 23158915 23548 5948 2263 2694 4538 2352 412
536870912 6265447029 11844148 23893 10484402 94103 45319678 4995 49302126 614 3897921 44849361 44195 10984 3272 3187 5206 7908 641
1073741824 12541730074 22217133 36055 20880988 51346 91381360 10668 100183382 1079 7633196 92609644 90605 11785 6076 6109 8621 11013 1498
2147483648 25045162008 46784290 59956 41159243 277075 181758207 19159 197999720 2037 14627294 181294539 179746 21957 10288 11597 15570 25116 2456
4294967296 50005274090 90056216 110535 82068037 383015 366305672 34860 399968081 3242 29936130 365834731 368466 47034 19793 22316 31367 43074 4980
8589934592 99819916779 176737502 206294 164315299 1392132 735343807 69684 801849015 6367 59250360 734694492 728094 87215 37779 44300 59976 105406 10079
