# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 4184381 3142 2569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 4759868 2267 1852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 6578393 3256 2662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 10005114 3562 2992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 16184748 3230 2816 1311 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 27498262 6318 2832 583 877 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 54468369 11448 5221 94 59 46 368 962 0 0 0 0 0 0 0 0 0 0
524288 118134707 21235 9828 160 107 43 25 9 0 1 2 1 1 146 1553 0 0 0
1048576 238995367 16815 10519 357 225 56 30 30 0 1803 19 0 0 3 38 130 0 0
2097152 474581760 20248 13457 629 317 111 97 113 0 23 0 1 2 0 233 2815 0 40
4194304 997871816 25161 18376 5068 697 275 219 121 0 54 3 1 8 0 292 377 0 0
8388608 2026283512 133977 17574 310222 2667 810 427 119688 0 114994 7 1118 603 3 536 974 0 51
16777216 5232525681 12171310 27221 1190520 13353 2107 1114 12416126 0 12360797 822 32768 3474 206 2888 4774 4 211
33554432 17457482919 142917051 46914 1320458 46092 6866 3009 142249451 49 142725096 2303 132182 12646 534 6377 9240 27 916
67108864 37191767287 331999994 73208 1450843 41598 11182 5420 331640280 61 331518537 3718 275533 24877 685 9076 17906 60 2076
134217728 75429268034 663842500 121628 2920664 33524 28936 11597 663358623 130 662972840 12660 545889 53559 2132 14554 35498 28 4000
268435456 155461965086 1350641355 289657 5871682 96222 52402 23768 1350359791 239 1349955378 23718 1097787 187836 3127 29981 63588 86 8882
536870912 318219566150 2732757982 596378 11752447 155913 120636 47777 2734315992 467 2734424043 54747 2166235 406383 11120 48688 115636 143 20280
1073741824 636699151015 5469298878 984303 22134365 315561 265000 94977 5470808969 1079 5469548382 120889 4410106 599021 17958 102522 270197 292 39915
2147483648 1278020489638 10943623499 1876879 43156896 933246 542654 161386 10948840977 2264 10947704347 251770 8748682 1109443 20389 180822 522356 624 82015
4294967296 2554576581285 21882768181 3527846 86486686 933534 1801903 335786 21891937125 3707 21886922090 672462 17899512 2182413 75371 344149 1001122 951 162759
8589934592 5094206348205 43766029894 6917190 171696213 2171195 4629016 706826 43789330846 8374 43772167677 2007318 35403531 3911327 149585 774294 2138848 2373 341069
