# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 3567692 3115 2516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 3665519 2896 2300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 4070082 3120 2529 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 4625253 3272 2685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 6210213 3145 2621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 8880749 3413 2736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 13828801 4062 3015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
524288 28354095 6414 2902 669 991 390 0 0 0 0 0 0 0 0 0 0 0 0
1048576 53498513 12688 5778 130 85 42 460 3242 0 0 0 0 0 0 0 0 0 0
2097152 105237940 27470 11750 225 150 25 24 34 0 5 1 7 801 346 0 0 0 0
4194304 229446546 20447 11482 3178 178 49 29 3936 0 73 6 0 75 5 50 81 0 0
8388608 464229564 60721 16353 267636 351 76 51 39995 0 40153 9 35 11 18 605 3945 0 38
16777216 1343087134 3152616 25686 1025437 11827 422 326 3330819 0 3345520 52 7636 1797 84 436 932 0 63
33554432 3399282802 14277868 25500 1303224 7610 1129 587 13932724 0 14166520 793 21474 2542 15 835 1760 5 148
67108864 9262052669 64040412 34970 1422873 29425 2211 1170 63838436 24 63743269 1111 56902 6365 129 2569 6224 13 603
134217728 19376955078 135927725 50501 2867380 25449 5332 2418 135724924 32 135561347 2377 112653 13625 521 4110 9241 5 986
268435456 39168897739 272062314 72381 5627967 37418 11550 4928 271657187 113 271529535 4681 223831 24905 676 7093 18986 33 2355
536870912 78629171655 543680804 121886 11344420 41604 30702 12621 544517992 119 544355146 12354 460914 56619 3825 12771 33278 50 5317
1073741824 160518624044 1108403975 216179 21510517 122631 97741 21767 1109584903 271 1108303840 43694 999980 114536 5762 25868 67563 88 8281
2147483648 411850959070 2723865259 839253 42704637 319718 190268 48127 2726173795 703 2724434871 79438 2242100 506715 6932 65912 167689 262 22358
4294967296 859979357910 5644792426 1449769 84112558 536229 780816 125906 5650199817 1256 5646143031 328644 4497982 871140 47291 136913 354276 369 59664
8589934592 1723757938140 11281130607 2418791 167833493 1356114 4337968 225126 11292296564 2987 11280674407 2374696 8740127 1435134 70630 310154 701607 19632 115762
