# size cpu-cycles node-load-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 6211344 6196 709 0 0 0
8192 6217106 5264 620 0 0 0
16384 6227486 5814 680 0 0 0
32768 6522267 5829 625 0 0 0
65536 6865478 6277 590 0 0 0
131072 8121759 6290 711 0 0 0
262144 9785380 6720 713 0 0 0
524288 13511282 8008 654 0 0 0
1048576 20492334 9876 658 0 0 0
2097152 35803198 14202 885 3996 0 0
4194304 64710747 29261 1152 10512 0 0
8388608 124724978 59506 2416 5227 1911 0
16777216 514562340 69885 9446 87622 26167 10088
33554432 1530918546 246697 19342 67492 36308 26910
67108864 3128621555 386484 35711 314260 72847 72869
134217728 6248887934 794961 62888 516073 145154 148180
268435456 12683031248 1540826 121354 1011323 283332 290958
536870912 24673528129 2966373 230468 1940118 534403 573472
1073741824 50156631040 6166041 462175 3649787 1381862 1183668
2147483648 100124303735 11108317 886838 6170766 2676790 2339827
4294967296 200887158788 20387605 1745241 10223715 5312896 4780490
8589934592 400480096008 34501025 3272918 14232782 10186219 9231566
