# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 3927502 3336 2739 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 3840342 3049 2530 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 3887931 3082 2538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 4320545 3667 3089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 4419703 3142 2640 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 5404329 3579 3163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 7165753 3406 2931 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
524288 10286290 3224 2700 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1048576 16904171 3811 3397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2097152 26798912 4303 2187 907 1141 0 0 0 0 0 0 0 0 0 0 0 0 0
4194304 49275928 10929 5715 24735 1792 1474 3409 0 0 0 0 0 0 0 0 0 0 0
8388608 104734760 21302 12041 308073 115404 82709 63645 1548 632 168 198 4559 0 0 0 0 0 0
16777216 264956840 733407 600815 488712 410990 400423 384896 30016 15682 2423 2908 12 334994 808155 166 258 0 12899
33554432 567945199 2449905 2168899 732830 610142 1247307 1241934 12298 3000 2414 5606 18 568541 1243300 366 332 0 40224
67108864 1112332939 4363617 4108364 1616538 1271408 2658625 2644585 27045 5655 3556 11173 44 1212786 3300624 1087 2822 0 74382
134217728 2224257865 8828158 8564032 3212653 2325730 5375087 5404152 56221 13829 11848 25027 412 2573791 5483783 1953 2045 0 110934
268435456 4402597408 17792576 17564139 5631174 4307207 10972410 10937338 124339 26814 21811 52650 197 4580744 11348233 3239 2921 0 208578
536870912 8773341215 36185039 35950479 10864925 8340631 21779908 21623508 222454 52178 42593 105977 655 9680218 21612322 6542 5387 1 403094
1073741824 18062521008 71744867 71412790 21731066 16629688 43884148 43763482 447595 84604 80783 212468 1430 19035561 43697975 11698 12044 0 796352
2147483648 35267038062 144034373 143625086 43082316 33008729 86958498 86622408 911916 181684 159470 424057 1720 38071772 86448927 23153 21742 0 1674404
4294967296 70603020500 286807046 286240142 85845183 65740008 174890697 174035265 1784012 349753 303855 863720 3577 76458330 173418840 43436 39051 4 3135775
8589934592 141385368088 573318250 574428174 171567940 131306343 348615863 346896532 3527927 699338 611465 1722352 5682 156493556 346176649 87983 72922 10 6201718
