# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
4096 3431976 3140 2483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8192 3419286 2690 2100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16384 3744097 2608 2109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 4550692 2768 2241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 5913882 2629 2008 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 8681748 2985 2310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 14492728 3413 2886 1748 0 0 0 0 0 0 0 0 0 0 0 0 0 0
524288 28339727 5006 2291 638 905 0 0 0 0 0 0 0 0 0 0 0 0 0
1048576 54275143 8783 4651 82 75 143 822 624 0 0 0 0 0 0 0 0 0 0
2097152 105700892 23956 12098 152 105 33 16 38 0 2 0 0 1801 428 0 0 0 0
4194304 228765124 15693 11004 7755 170 34 253 616 124 4 0 0 2 0 40 169 0 0
8388608 481507004 70989 60215 368662 54659 258 56 220 16 65 4 0 37002 0 164 3506 0 13588
16777216 2235324114 3337075 3243838 952233 706681 984 332 13369 7776 3586 98 448 3453397 171 1660 1419 1 1259813
33554432 6328719289 14197825 14067536 1053429 830825 1372 696 36314 18094 9668 691 1053 14331414 169 3309 5684 0 5327490
67108864 19841151203 63522302 63345570 2075160 1274262 4133 1665 89010 38204 23542 803 656 63740035 302 13180 14203 1 23924174
134217728 44195214290 134282917 134072339 3437917 2582619 8440 2556 209529 92286 63727 2030 430 134443166 892 22847 25189 6 50397770
268435456 95812844430 268177920 267865638 6111318 4282027 20033 4941 443294 199756 151258 4662 579 268327128 1986 37098 29148 7 100528106
536870912 193280395581 536384074 535875936 10976166 8329576 36276 9545 1163971 443338 517867 10639 1130 535879402 5947 69150 45843 9 200721932
1073741824 386220761628 1087125854 1072223569 22149275 16856217 122509 50536 16278812 922050 14920946 36157 2754 1072308620 19754 148532 84768 30 401653124
2147483648 854525289643 2645542198 2203552668 44245664 33407963 261338 86485 445261306 2018991 442235831 78889 4199 2203285334 42266 333235 203861 37 809166366
4294967296 1798191241372 5497256766 4440951325 89035333 66899473 1027827 593402 1064188869 4014423 1058085716 242287 38706 4447727361 168027 867402 485797 149 1620967773
8589934592 3398514075602 11038460736 8921836831 176350086 132907961 4103962 3245476 2129131337 6687141 2118499725 503253 72531 8921611063 1644167 1581530 858610 310 3229239242
