# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 3790273 3185 2631 0 0 0 0 0 0 0 0
8192 4010674 2640 2128 0 0 0 0 0 0 0 0
16384 5015771 3584 3019 0 0 0 0 0 0 0 0
32768 6822390 3227 2695 0 0 0 0 0 0 0 0
65536 10154731 2989 2512 0 0 0 0 0 0 0 0
131072 16930926 2680 2076 2028 0 0 0 0 0 0 0
262144 29472698 4688 2184 542 434 0 0 0 0 0 0
524288 58102161 13663 6200 115 74 57 278 415 0 0 0
1048576 113439518 9569 7594 685 83 85 53 18 4 56 61
2097152 224124262 9160 7634 1990 224 136 85 23 46 66 99
4194304 445938316 16417 10234 664 584 1001 450 34 103 120 206
8388608 887568924 17336 10071 28538 683 3705 372 303 465 1031 2432
16777216 1787440809 66851 12806 1112996 2164 632675 878 66616 6234 1358 684
33554432 3622285480 395098 18300 5568749 4558 4597181 2612 328218 3464 2710 4548
67108864 7248867044 817098 24361 11278100 8490 10070882 4204 753639 4992 2015 3293
134217728 14536588220 1621059 35044 18886250 12858 19976494 6236 1458469 9288 4257 4598
268435456 29058307695 3262332 53629 36402368 22592 40330413 10581 2937392 22011 8327 9091
536870912 58244423502 6204740 96551 77170333 37993 80456241 20217 5894611 45422 14187 19587
1073741824 116501453681 12561273 179718 146193719 73137 161133689 42042 11713049 96367 25895 43082
2147483648 233749603242 24863711 351268 295804598 138889 321856249 82716 23292428 202284 49651 82379
4294967296 467605284320 48885268 683230 593239451 270714 645073419 161011 45736425 397373 100292 161865
8589934592 934209870476 95778556 1320242 1187317333 533815 1293561714 299520 89260964 774177 203622 307364
