# size cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm
4096 862777915267 1109667174 944293116 1109031806 605721826 516141406 402363689 69464768 189829068 313584496 473663588
8192 463083151462 565461928 480071651 804012455 417934157 226622821 173679786 35824555 90561501 159808641 250109841
16384 306184857509 317321934 265549670 677412114 336680092 131827256 102457497 22404381 52146352 87516748 138006048
32768 216516735042 171411359 140309463 614833220 300921983 103272383 86348716 14251054 29520973 48312174 71087929
65536 177053809789 104765089 83499942 586162241 268482211 74263904 62440576 10777787 18742875 28117218 42605684
131072 151145121734 73550759 56674416 576373885 251565024 66781780 56489870 9630488 13524502 18566288 29002572
262144 137414373112 59470857 46226156 575642000 269202268 72690752 62704988 7842176 11207998 15508452 21769153
524288 133477966744 48883814 37330277 574386380 246976468 66017630 56619022 7483263 9808132 12983448 15485469
1048576 124330787421 40559682 29091620 576148710 212822737 53949329 45191995 8133319 8075579 9401149 11530190
2097152 119474775225 38246358 28219285 569903080 201198895 47542113 39709281 7496315 8244217 9850459 9425787
4194304 117560159576 35795565 25449689 570007336 197761216 47242746 39749613 7877559 7664032 8576511 8720580
8388608 115814814657 34283944 24844122 609128787 161267450 40485634 30498888 7131299 8441419 7910465 8099252
16777216 140933196176 35605819 23355271 2249465400 162820654 158350230 33950794 9875908 9069969 6470520 7416230
33554432 167141678228 35812238 21779607 4643905785 157117762 349127907 30172903 11495861 8663322 6248472 6594376
67108864 166517668415 33691418 19508857 4722974578 122680027 344433928 24637809 11464181 8303504 4886475 6311600
134217728 166880960784 34311291 20644872 4725536614 123909242 342245598 22851822 10763092 8309305 5401088 6302672
268435456 169261177218 36575940 22723619 4712159554 145569388 345802177 28335174 10627354 8841949 7096010 6883955
536870912 170715857399 37195988 23594092 4721094802 148925431 347030482 28753399 10737713 8430123 7433996 7133255
1073741824 174407993269 40834723 25282751 4724285417 163921853 349702089 31878112 12001252 7022617 9126468 8261393
2147483648 176271804426 43682078 28320489 4719794395 192021194 361232122 41601095 11930860 7385200 10690483 9025427
4294967296 178879515355 43078573 28371633 4720933759 163212290 352816432 33394387 11125469 7838706 10168252 9047000
8589934592 180314074776 44986572 30107064 4727142379 226864350 369751779 53617772 11468820 7758516 11410040 9493296
